Dataset,Model,Enhancement,Optimizer,LR,BatchSize,Time/Epoch (sec),Total Time (sec),#Epoch(total),#Epoch(saved),Accuracy(total),Train Accuracy,NumParam,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5,Accuracy_6,Accuracy_7,Accuracy_8,Accuracy_9,Accuracy_10
mnist,CNN,,LBFGS,0.001,40000,19.411609947681427,1941.1609947681427,100,100,96.89,96.448,44426,98.4375,98.51851851851852,95.74468085106383,98.38709677419355,97.10144927536231,94.38202247191012,96.15384615384616,92.17391304347827,96.46017699115045,92.0863309352518
cifar,MLP,dropout,SGD,0.001,32,4.137058610007877,86.8782308101654,21,16,53.76,62.55,1647946,61.2,61.3,42.6,39.4,43.7,41.3,63.8,59.0,67.6,57.7
mnist,CNN,dropout,K-FAC,0.0001,32,51.48907027641932,1235.7376866340637,24,19,98.84,99.438,44426,99.48979591836735,99.11894273127753,98.93410852713178,99.20792079207921,98.87983706720978,98.20627802690584,98.64300626304802,98.73540856031128,98.56262833675565,98.51337958374629
cifar,CNN,dropout,LBFGS,0.01,50000,18.623895076604988,242.11063599586487,13,8,24.16,24.565,62006,34.3,50.7,5.1,24.1,2.4,0.0,69.0,16.3,39.2,0.5
cifar,MLP,,LBFGS,0.01,50000,9.888947741551833,435.11370062828064,44,39,50.41,56.8925,1647946,56.3,60.2,38.4,30.8,41.8,37.5,59.3,56.1,67.2,56.5
mnist,MLP,dropout,LBFGS,0.001,40000,8.178040387630462,817.8040387630463,100,100,11.01,11.376,476490,0.0,0.0,0.0,0.0,0.0,0.0,49.58246346555324,0.0,64.16837782340862,0.09910802775024777
fashion_mnist,CNN,dropout,K-FAC,0.0001,32,13.495171270062846,418.35030937194824,31,26,88.74,91.376,44426,84.9,97.2,82.1,91.7,83.4,95.4,63.8,97.5,97.7,93.7
fashion_mnist,CNN,dropout,K-FAC,0.001,32,12.561274083455404,188.41911125183105,15,10,84.37,0.0,44426,80.0,89.65517241379311,79.3103448275862,91.17647058823529,83.60655737704919,88.40579710144928,34.61538461538461,89.81481481481481,98.33333333333333,96.72131147540983
fashion_mnist,CNN,,SGD,0.01,32,16.24249562195369,227.39493870735168,14,9,88.73,91.814,44426,80.6,98.5,86.4,88.1,84.1,95.5,66.5,96.6,96.0,95.0
cifar,CNN,dropout,K-FAC,1e-05,32,10.091288127899169,1009.128812789917,100,99,60.33,71.0525,62006,60.1,74.0,48.2,40.0,60.8,37.4,75.8,64.5,76.9,65.6
mnist,CNN,,SGD,0.001,32,4.4407936334609985,133.22380900382996,30,25,98.99,99.622,44426,99.6938775510204,99.47136563876651,99.32170542635659,99.3069306930693,99.4908350305499,98.54260089686099,98.22546972860125,98.63813229571984,98.66529774127311,98.41427155599604
fashion_mnist,CNN,no_pool,SGD,0.01,32,4.869088927904765,58.42906713485718,12,7,84.09,85.096,54100,83.5,96.2,74.1,87.0,74.3,91.7,48.6,96.4,94.7,94.4
